D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2717,Abacate,1,Brasil,2000,2000,2313,Área destinada à colheita,1006,Hectares,12843
2717,Abacate,1,Brasil,2000,2000,216,Área colhida,1006,Hectares,12699
2717,Abacate,1,Brasil,2000,2000,214,Quantidade produzida,1017,Toneladas,344583
2717,Abacate,1,Brasil,2000,2000,112,Rendimento médio da produção,33,Quilogramas por Hectare,27134
2717,Abacate,1,Brasil,2000,2000,215,Valor da produção,40,Mil Reais,41269
2718,Algodão arbóreo (em caroço),1,Brasil,2000,2000,2313,Área destinada à colheita,1006,Hectares,13678
2718,Algodão arbóreo (em caroço),1,Brasil,2000,2000,216,Área colhida,1006,Hectares,13626
2718,Algodão arbóreo (em caroço),1,Brasil,2000,2000,214,Quantidade produzida,1017,Toneladas,7885
2718,Algodão arbóreo (em caroço),1,Brasil,2000,2000,112,Rendimento médio da produção,33,Quilogramas por Hectare,578
2718,Algodão arbóreo (em caroço),1,Brasil,2000,2000,215,Valor da produção,40,Mil Reais,4837
2719,Azeitona,1,Brasil,2000,2000,2313,Área destinada à colheita,1006,Hectares,75
2719,Azeitona,1,Brasil,2000,2000,216,Área colhida,1006,Hectares,11
2719,Azeitona,1,Brasil,2000,2000,214,Quantidade produzida,1017,Toneladas,4
2719,Azeitona,1,Brasil,2000,2000,112,Rendimento médio da produção,33,Quilogramas por Hectare,363
2719,Azeitona,1,Brasil,2000,2000,215,Valor da produção,40,Mil Reais,3
2720,Banana (cacho),1,Brasil,2000,2000,2313,Área destinada à colheita,1006,Hectares,533593
2720,Banana (cacho),1,Brasil,2000,2000,216,Área colhida,1006,Hectares,524750
2720,Banana (cacho),1,Brasil,2000,2000,214,Quantidade produzida,1017,Toneladas,566336
2720,Banana (cacho),1,Brasil,2000,2000,112,Rendimento médio da produção,33,Quilogramas por Hectare,1079
2720,Banana (cacho),1,Brasil,2000,2000,215,Valor da produção,40,Mil Reais,1038273
2721,Borracha (látex coagulado),1,Brasil,2000,2000,2313,Área destinada à colheita,1006,Hectares,96587
2721,Borracha (látex coagulado),1,Brasil,2000,2000,216,Área colhida,1006,Hectares,94464
2721,Borracha (látex coagulado),1,Brasil,2000,2000,214,Quantidade produzida,1017,Toneladas,135513
2721,Borracha (látex coagulado),1,Brasil,2000,2000,112,Rendimento médio da produção,33,Quilogramas por Hectare,1434
2721,Borracha (látex coagulado),1,Brasil,2000,2000,215,Valor da produção,40,Mil Reais,115438
2722,Cacau (em amêndoa),1,Brasil,2000,2000,2313,Área destinada à colheita,1006,Hectares,707487
2722,Cacau (em amêndoa),1,Brasil,2000,2000,216,Área colhida,1006,Hectares,705965
2722,Cacau (em amêndoa),1,Brasil,2000,2000,214,Quantidade produzida,1017,Toneladas,196788
2722,Cacau (em amêndoa),1,Brasil,2000,2000,112,Rendimento médio da produção,33,Quilogramas por Hectare,278
2722,Cacau (em amêndoa),1,Brasil,2000,2000,215,Valor da produção,40,Mil Reais,299620
