D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Brasil,2007,2007,109,Área plantada,1006,Hectares,71970
2688,Abacaxi,1,Brasil,2007,2007,216,Área colhida,1006,Hectares,71823
2688,Abacaxi,1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,1784215
2688,Abacaxi,1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,24841
2688,Abacaxi,1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,951296
2689,Algodão herbáceo (em caroço),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,1131195
2689,Algodão herbáceo (em caroço),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,1125256
2689,Algodão herbáceo (em caroço),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,4110822
2689,Algodão herbáceo (em caroço),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,3653
2689,Algodão herbáceo (em caroço),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,3988961
2690,Alho,1,Brasil,2007,2007,109,Área plantada,1006,Hectares,11258
2690,Alho,1,Brasil,2007,2007,216,Área colhida,1006,Hectares,11258
2690,Alho,1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,99002
2690,Alho,1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,8793
2690,Alho,1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,230227
2691,Amendoim (em casca),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,114213
2691,Amendoim (em casca),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,113776
2691,Amendoim (em casca),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,263440
2691,Amendoim (em casca),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2315
2691,Amendoim (em casca),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,256847
2692,Arroz (em casca),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,2915316
2692,Arroz (em casca),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,2890926
2692,Arroz (em casca),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,11060741
2692,Arroz (em casca),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,3826
2692,Arroz (em casca),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,4572156
2693,Aveia (em grão),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,141475
2693,Aveia (em grão),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,136955
2693,Aveia (em grão),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,237801
2693,Aveia (em grão),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1736
2693,Aveia (em grão),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,79011
2694,Batata-doce,1,Brasil,2007,2007,109,Área plantada,1006,Hectares,44045
2694,Batata-doce,1,Brasil,2007,2007,216,Área colhida,1006,Hectares,43879
2694,Batata-doce,1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,529531
2694,Batata-doce,1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,12067
2694,Batata-doce,1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,254894
2695,Batata-inglesa,1,Brasil,2007,2007,109,Área plantada,1006,Hectares,147800
2695,Batata-inglesa,1,Brasil,2007,2007,216,Área colhida,1006,Hectares,147719
2695,Batata-inglesa,1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,3550511
2695,Batata-inglesa,1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,24035
2695,Batata-inglesa,1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,2036223
2696,Cana-de-açúcar,1,Brasil,2007,2007,109,Área plantada,1006,Hectares,7086851
2696,Cana-de-açúcar,1,Brasil,2007,2007,216,Área colhida,1006,Hectares,7080920
2696,Cana-de-açúcar,1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,549707314
2696,Cana-de-açúcar,1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,77632
2696,Cana-de-açúcar,1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,19080325
2697,Cebola,1,Brasil,2007,2007,109,Área plantada,1006,Hectares,63682
2697,Cebola,1,Brasil,2007,2007,216,Área colhida,1006,Hectares,63622
2697,Cebola,1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,1360301
2697,Cebola,1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,21380
2697,Cebola,1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,774527
2698,Centeio (em grão),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,3866
2698,Centeio (em grão),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,3866
2698,Centeio (em grão),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,4620
2698,Centeio (em grão),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1195
2698,Centeio (em grão),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,1810
2699,Cevada (em grão),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,100298
2699,Cevada (em grão),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,100298
2699,Cevada (em grão),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,235577
2699,Cevada (em grão),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2348
2699,Cevada (em grão),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,108604
2700,Ervilha (em grão),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,1747
2700,Ervilha (em grão),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,1727
2700,Ervilha (em grão),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,3844
2700,Ervilha (em grão),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,2225
2700,Ervilha (em grão),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,4371
2701,Fava (em grão),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,35123
2701,Fava (em grão),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,34797
2701,Fava (em grão),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,15731
2701,Fava (em grão),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,452
2701,Fava (em grão),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,25461
2702,Feijão (em grão),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,3975900
2702,Feijão (em grão),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,3788279
2702,Feijão (em grão),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,3169356
2702,Feijão (em grão),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,836
2702,Feijão (em grão),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,3880952
2703,Fumo (em folha),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,460343
2703,Fumo (em folha),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,459481
2703,Fumo (em folha),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,908679
2703,Fumo (em folha),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1977
2703,Fumo (em folha),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,3583963
109179,Girassol (em grão),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,73233
109179,Girassol (em grão),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,72548
109179,Girassol (em grão),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,104923
109179,Girassol (em grão),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1446
109179,Girassol (em grão),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,50985
2704,Juta (fibra),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,4695
2704,Juta (fibra),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,4501
2704,Juta (fibra),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,6362
2704,Juta (fibra),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,1413
2704,Juta (fibra),1,Brasil,2007,2007,215,Valor da produção,40,Mil Reais,4037
2705,Linho (semente),1,Brasil,2007,2007,109,Área plantada,1006,Hectares,16223
2705,Linho (semente),1,Brasil,2007,2007,216,Área colhida,1006,Hectares,16223
2705,Linho (semente),1,Brasil,2007,2007,214,Quantidade produzida,1017,Toneladas,14722
2705,Linho (semente),1,Brasil,2007,2007,112,Rendimento médio da produção,33,Quilogramas por Hectare,907
