D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2717,Abacate,1,Norte,1996,1996,2313,Área destinada à colheita,1006,Hectares,949
2717,Abacate,1,Norte,1996,1996,216,Área colhida,1006,Hectares,929
2717,Abacate,1,Norte,1996,1996,214,Quantidade produzida,1017,Toneladas,19829
2717,Abacate,1,Norte,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,21344
2717,Abacate,1,Norte,1996,1996,215,Valor da produção,40,Mil Reais,3746
2717,Abacate,2,Nordeste,1996,1996,2313,Área destinada à colheita,1006,Hectares,1524
2717,Abacate,2,Nordeste,1996,1996,216,Área colhida,1006,Hectares,1521
2717,Abacate,2,Nordeste,1996,1996,214,Quantidade produzida,1017,Toneladas,35834
2717,Abacate,2,Nordeste,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,23559
2717,Abacate,2,Nordeste,1996,1996,215,Valor da produção,40,Mil Reais,3702
2717,Abacate,3,Sudeste,1996,1996,2313,Área destinada à colheita,1006,Hectares,8478
2717,Abacate,3,Sudeste,1996,1996,216,Área colhida,1006,Hectares,8475
2717,Abacate,3,Sudeste,1996,1996,214,Quantidade produzida,1017,Toneladas,213392
2717,Abacate,3,Sudeste,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,25178
2717,Abacate,3,Sudeste,1996,1996,215,Valor da produção,40,Mil Reais,35720
2717,Abacate,4,Sul,1996,1996,2313,Área destinada à colheita,1006,Hectares,2269
2717,Abacate,4,Sul,1996,1996,216,Área colhida,1006,Hectares,2251
2717,Abacate,4,Sul,1996,1996,214,Quantidade produzida,1017,Toneladas,50756
2717,Abacate,4,Sul,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,22548
2717,Abacate,4,Sul,1996,1996,215,Valor da produção,40,Mil Reais,6803
2717,Abacate,5,Centro-Oeste,1996,1996,2313,Área destinada à colheita,1006,Hectares,152
2717,Abacate,5,Centro-Oeste,1996,1996,216,Área colhida,1006,Hectares,143
2717,Abacate,5,Centro-Oeste,1996,1996,214,Quantidade produzida,1017,Toneladas,3121
2717,Abacate,5,Centro-Oeste,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,21825
2717,Abacate,5,Centro-Oeste,1996,1996,215,Valor da produção,40,Mil Reais,679
2718,Algodão arbóreo (em caroço),1,Norte,1996,1996,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),1,Norte,1996,1996,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),1,Norte,1996,1996,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),1,Norte,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),1,Norte,1996,1996,215,Valor da produção,40,Mil Reais,-
2718,Algodão arbóreo (em caroço),2,Nordeste,1996,1996,2313,Área destinada à colheita,1006,Hectares,17183
2718,Algodão arbóreo (em caroço),2,Nordeste,1996,1996,216,Área colhida,1006,Hectares,16865
2718,Algodão arbóreo (em caroço),2,Nordeste,1996,1996,214,Quantidade produzida,1017,Toneladas,2369
2718,Algodão arbóreo (em caroço),2,Nordeste,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,140
2718,Algodão arbóreo (em caroço),2,Nordeste,1996,1996,215,Valor da produção,40,Mil Reais,1184
2718,Algodão arbóreo (em caroço),3,Sudeste,1996,1996,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),3,Sudeste,1996,1996,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),3,Sudeste,1996,1996,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),3,Sudeste,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),3,Sudeste,1996,1996,215,Valor da produção,40,Mil Reais,-
2718,Algodão arbóreo (em caroço),4,Sul,1996,1996,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),4,Sul,1996,1996,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),4,Sul,1996,1996,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),4,Sul,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),4,Sul,1996,1996,215,Valor da produção,40,Mil Reais,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,1996,1996,2313,Área destinada à colheita,1006,Hectares,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,1996,1996,216,Área colhida,1006,Hectares,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,1996,1996,214,Quantidade produzida,1017,Toneladas,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2718,Algodão arbóreo (em caroço),5,Centro-Oeste,1996,1996,215,Valor da produção,40,Mil Reais,-
2719,Azeitona,1,Norte,1996,1996,2313,Área destinada à colheita,1006,Hectares,-
2719,Azeitona,1,Norte,1996,1996,216,Área colhida,1006,Hectares,-
2719,Azeitona,1,Norte,1996,1996,214,Quantidade produzida,1017,Toneladas,-
2719,Azeitona,1,Norte,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2719,Azeitona,1,Norte,1996,1996,215,Valor da produção,40,Mil Reais,-
2719,Azeitona,2,Nordeste,1996,1996,2313,Área destinada à colheita,1006,Hectares,-
2719,Azeitona,2,Nordeste,1996,1996,216,Área colhida,1006,Hectares,-
2719,Azeitona,2,Nordeste,1996,1996,214,Quantidade produzida,1017,Toneladas,-
2719,Azeitona,2,Nordeste,1996,1996,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
