D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,1,Norte,2015,2015,109,Área plantada,1006,Hectares,21402
2688,Abacaxi,1,Norte,2015,2015,216,Área colhida,1006,Hectares,21107
2688,Abacaxi,1,Norte,2015,2015,214,Quantidade produzida,1017,Toneladas,536081
2688,Abacaxi,1,Norte,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,25398
2688,Abacaxi,1,Norte,2015,2015,215,Valor da produção,40,Mil Reais,705631
2688,Abacaxi,2,Nordeste,2015,2015,109,Área plantada,1006,Hectares,24367
2688,Abacaxi,2,Nordeste,2015,2015,216,Área colhida,1006,Hectares,24321
2688,Abacaxi,2,Nordeste,2015,2015,214,Quantidade produzida,1017,Toneladas,649128
2688,Abacaxi,2,Nordeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,26690
2688,Abacaxi,2,Nordeste,2015,2015,215,Valor da produção,40,Mil Reais,756549
2688,Abacaxi,3,Sudeste,2015,2015,109,Área plantada,1006,Hectares,18294
2688,Abacaxi,3,Sudeste,2015,2015,216,Área colhida,1006,Hectares,18294
2688,Abacaxi,3,Sudeste,2015,2015,214,Quantidade produzida,1017,Toneladas,494353
2688,Abacaxi,3,Sudeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,27023
2688,Abacaxi,3,Sudeste,2015,2015,215,Valor da produção,40,Mil Reais,600681
2688,Abacaxi,4,Sul,2015,2015,109,Área plantada,1006,Hectares,748
2688,Abacaxi,4,Sul,2015,2015,216,Área colhida,1006,Hectares,748
2688,Abacaxi,4,Sul,2015,2015,214,Quantidade produzida,1017,Toneladas,16697
2688,Abacaxi,4,Sul,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,22322
2688,Abacaxi,4,Sul,2015,2015,215,Valor da produção,40,Mil Reais,20158
2688,Abacaxi,5,Centro-Oeste,2015,2015,109,Área plantada,1006,Hectares,4754
2688,Abacaxi,5,Centro-Oeste,2015,2015,216,Área colhida,1006,Hectares,4695
2688,Abacaxi,5,Centro-Oeste,2015,2015,214,Quantidade produzida,1017,Toneladas,105156
2688,Abacaxi,5,Centro-Oeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,22397
2688,Abacaxi,5,Centro-Oeste,2015,2015,215,Valor da produção,40,Mil Reais,135844
2689,Algodão herbáceo (em caroço),1,Norte,2015,2015,109,Área plantada,1006,Hectares,1803
2689,Algodão herbáceo (em caroço),1,Norte,2015,2015,216,Área colhida,1006,Hectares,1803
2689,Algodão herbáceo (em caroço),1,Norte,2015,2015,214,Quantidade produzida,1017,Toneladas,3618
2689,Algodão herbáceo (em caroço),1,Norte,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,2007
2689,Algodão herbáceo (em caroço),1,Norte,2015,2015,215,Valor da produção,40,Mil Reais,10618
2689,Algodão herbáceo (em caroço),2,Nordeste,2015,2015,109,Área plantada,1006,Hectares,369364
2689,Algodão herbáceo (em caroço),2,Nordeste,2015,2015,216,Área colhida,1006,Hectares,369002
2689,Algodão herbáceo (em caroço),2,Nordeste,2015,2015,214,Quantidade produzida,1017,Toneladas,1338017
2689,Algodão herbáceo (em caroço),2,Nordeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,3626
2689,Algodão herbáceo (em caroço),2,Nordeste,2015,2015,215,Valor da produção,40,Mil Reais,2744105
2689,Algodão herbáceo (em caroço),3,Sudeste,2015,2015,109,Área plantada,1006,Hectares,23045
2689,Algodão herbáceo (em caroço),3,Sudeste,2015,2015,216,Área colhida,1006,Hectares,22586
2689,Algodão herbáceo (em caroço),3,Sudeste,2015,2015,214,Quantidade produzida,1017,Toneladas,81856
2689,Algodão herbáceo (em caroço),3,Sudeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,3624
2689,Algodão herbáceo (em caroço),3,Sudeste,2015,2015,215,Valor da produção,40,Mil Reais,103155
2689,Algodão herbáceo (em caroço),4,Sul,2015,2015,109,Área plantada,1006,Hectares,-
2689,Algodão herbáceo (em caroço),4,Sul,2015,2015,216,Área colhida,1006,Hectares,-
2689,Algodão herbáceo (em caroço),4,Sul,2015,2015,214,Quantidade produzida,1017,Toneladas,-
2689,Algodão herbáceo (em caroço),4,Sul,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2689,Algodão herbáceo (em caroço),4,Sul,2015,2015,215,Valor da produção,40,Mil Reais,-
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2015,2015,109,Área plantada,1006,Hectares,653410
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2015,2015,216,Área colhida,1006,Hectares,653410
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2015,2015,214,Quantidade produzida,1017,Toneladas,2643300
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,4045
2689,Algodão herbáceo (em caroço),5,Centro-Oeste,2015,2015,215,Valor da produção,40,Mil Reais,4833067
2690,Alho,1,Norte,2015,2015,109,Área plantada,1006,Hectares,-
2690,Alho,1,Norte,2015,2015,216,Área colhida,1006,Hectares,-
2690,Alho,1,Norte,2015,2015,214,Quantidade produzida,1017,Toneladas,-
2690,Alho,1,Norte,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2690,Alho,1,Norte,2015,2015,215,Valor da produção,40,Mil Reais,-
2690,Alho,2,Nordeste,2015,2015,109,Área plantada,1006,Hectares,748
2690,Alho,2,Nordeste,2015,2015,216,Área colhida,1006,Hectares,748
2690,Alho,2,Nordeste,2015,2015,214,Quantidade produzida,1017,Toneladas,7619
2690,Alho,2,Nordeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,10186
2690,Alho,2,Nordeste,2015,2015,215,Valor da produção,40,Mil Reais,30106
2690,Alho,3,Sudeste,2015,2015,109,Área plantada,1006,Hectares,2621
2690,Alho,3,Sudeste,2015,2015,216,Área colhida,1006,Hectares,2621
2690,Alho,3,Sudeste,2015,2015,214,Quantidade produzida,1017,Toneladas,36984
2690,Alho,3,Sudeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,14111
2690,Alho,3,Sudeste,2015,2015,215,Valor da produção,40,Mil Reais,292879
2690,Alho,4,Sul,2015,2015,109,Área plantada,1006,Hectares,4813
2690,Alho,4,Sul,2015,2015,216,Área colhida,1006,Hectares,4811
2690,Alho,4,Sul,2015,2015,214,Quantidade produzida,1017,Toneladas,35294
2690,Alho,4,Sul,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,7336
2690,Alho,4,Sul,2015,2015,215,Valor da produção,40,Mil Reais,217412
2690,Alho,5,Centro-Oeste,2015,2015,109,Área plantada,1006,Hectares,2609
2690,Alho,5,Centro-Oeste,2015,2015,216,Área colhida,1006,Hectares,2609
2690,Alho,5,Centro-Oeste,2015,2015,214,Quantidade produzida,1017,Toneladas,37375
2690,Alho,5,Centro-Oeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,14325
2690,Alho,5,Centro-Oeste,2015,2015,215,Valor da produção,40,Mil Reais,253470
2691,Amendoim (em casca),1,Norte,2015,2015,109,Área plantada,1006,Hectares,2576
2691,Amendoim (em casca),1,Norte,2015,2015,216,Área colhida,1006,Hectares,2571
2691,Amendoim (em casca),1,Norte,2015,2015,214,Quantidade produzida,1017,Toneladas,9531
2691,Amendoim (em casca),1,Norte,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,3707
2691,Amendoim (em casca),1,Norte,2015,2015,215,Valor da produção,40,Mil Reais,10607
2691,Amendoim (em casca),2,Nordeste,2015,2015,109,Área plantada,1006,Hectares,9076
2691,Amendoim (em casca),2,Nordeste,2015,2015,216,Área colhida,1006,Hectares,9030
2691,Amendoim (em casca),2,Nordeste,2015,2015,214,Quantidade produzida,1017,Toneladas,10517
2691,Amendoim (em casca),2,Nordeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,1165
2691,Amendoim (em casca),2,Nordeste,2015,2015,215,Valor da produção,40,Mil Reais,14811
2691,Amendoim (em casca),3,Sudeste,2015,2015,109,Área plantada,1006,Hectares,130310
2691,Amendoim (em casca),3,Sudeste,2015,2015,216,Área colhida,1006,Hectares,129952
2691,Amendoim (em casca),3,Sudeste,2015,2015,214,Quantidade produzida,1017,Toneladas,466897
2691,Amendoim (em casca),3,Sudeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,3593
2691,Amendoim (em casca),3,Sudeste,2015,2015,215,Valor da produção,40,Mil Reais,577739
2691,Amendoim (em casca),4,Sul,2015,2015,109,Área plantada,1006,Hectares,5267
2691,Amendoim (em casca),4,Sul,2015,2015,216,Área colhida,1006,Hectares,5267
2691,Amendoim (em casca),4,Sul,2015,2015,214,Quantidade produzida,1017,Toneladas,10838
2691,Amendoim (em casca),4,Sul,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,2058
2691,Amendoim (em casca),4,Sul,2015,2015,215,Valor da produção,40,Mil Reais,28061
2691,Amendoim (em casca),5,Centro-Oeste,2015,2015,109,Área plantada,1006,Hectares,1087
2691,Amendoim (em casca),5,Centro-Oeste,2015,2015,216,Área colhida,1006,Hectares,1052
2691,Amendoim (em casca),5,Centro-Oeste,2015,2015,214,Quantidade produzida,1017,Toneladas,2277
2691,Amendoim (em casca),5,Centro-Oeste,2015,2015,112,Rendimento médio da produção,33,Quilogramas por Hectare,2164
