D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2717,Abacate,11,Rondônia,2009,2009,2313,Área destinada à colheita,1006,Hectares,27
2717,Abacate,11,Rondônia,2009,2009,216,Área colhida,1006,Hectares,27
2717,Abacate,11,Rondônia,2009,2009,214,Quantidade produzida,1017,Toneladas,297
2717,Abacate,11,Rondônia,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,11000
2717,Abacate,11,Rondônia,2009,2009,215,Valor da produção,40,Mil Reais,203
2717,Abacate,12,Acre,2009,2009,2313,Área destinada à colheita,1006,Hectares,70
2717,Abacate,12,Acre,2009,2009,216,Área colhida,1006,Hectares,64
2717,Abacate,12,Acre,2009,2009,214,Quantidade produzida,1017,Toneladas,355
2717,Abacate,12,Acre,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,5546
2717,Abacate,12,Acre,2009,2009,215,Valor da produção,40,Mil Reais,293
2717,Abacate,13,Amazonas,2009,2009,2313,Área destinada à colheita,1006,Hectares,204
2717,Abacate,13,Amazonas,2009,2009,216,Área colhida,1006,Hectares,190
2717,Abacate,13,Amazonas,2009,2009,214,Quantidade produzida,1017,Toneladas,933
2717,Abacate,13,Amazonas,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,4910
2717,Abacate,13,Amazonas,2009,2009,215,Valor da produção,40,Mil Reais,388
2717,Abacate,14,Roraima,2009,2009,2313,Área destinada à colheita,1006,Hectares,-
2717,Abacate,14,Roraima,2009,2009,216,Área colhida,1006,Hectares,-
2717,Abacate,14,Roraima,2009,2009,214,Quantidade produzida,1017,Toneladas,-
2717,Abacate,14,Roraima,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2717,Abacate,14,Roraima,2009,2009,215,Valor da produção,40,Mil Reais,-
2717,Abacate,15,Pará,2009,2009,2313,Área destinada à colheita,1006,Hectares,32
2717,Abacate,15,Pará,2009,2009,216,Área colhida,1006,Hectares,32
2717,Abacate,15,Pará,2009,2009,214,Quantidade produzida,1017,Toneladas,725
2717,Abacate,15,Pará,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,22656
2717,Abacate,15,Pará,2009,2009,215,Valor da produção,40,Mil Reais,232
2717,Abacate,16,Amapá,2009,2009,2313,Área destinada à colheita,1006,Hectares,-
2717,Abacate,16,Amapá,2009,2009,216,Área colhida,1006,Hectares,-
2717,Abacate,16,Amapá,2009,2009,214,Quantidade produzida,1017,Toneladas,-
2717,Abacate,16,Amapá,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2717,Abacate,16,Amapá,2009,2009,215,Valor da produção,40,Mil Reais,-
2717,Abacate,17,Tocantins,2009,2009,2313,Área destinada à colheita,1006,Hectares,-
2717,Abacate,17,Tocantins,2009,2009,216,Área colhida,1006,Hectares,-
2717,Abacate,17,Tocantins,2009,2009,214,Quantidade produzida,1017,Toneladas,-
