D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,11,Rondônia,2009,2009,109,Área plantada,1006,Hectares,659
2688,Abacaxi,11,Rondônia,2009,2009,216,Área colhida,1006,Hectares,659
2688,Abacaxi,11,Rondônia,2009,2009,214,Quantidade produzida,1017,Toneladas,11012
2688,Abacaxi,11,Rondônia,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,16710
2688,Abacaxi,11,Rondônia,2009,2009,215,Valor da produção,40,Mil Reais,9492
2688,Abacaxi,12,Acre,2009,2009,109,Área plantada,1006,Hectares,320
2688,Abacaxi,12,Acre,2009,2009,216,Área colhida,1006,Hectares,319
2688,Abacaxi,12,Acre,2009,2009,214,Quantidade produzida,1017,Toneladas,3802
2688,Abacaxi,12,Acre,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,11918
2688,Abacaxi,12,Acre,2009,2009,215,Valor da produção,40,Mil Reais,4678
2688,Abacaxi,13,Amazonas,2009,2009,109,Área plantada,1006,Hectares,2557
2688,Abacaxi,13,Amazonas,2009,2009,216,Área colhida,1006,Hectares,2557
2688,Abacaxi,13,Amazonas,2009,2009,214,Quantidade produzida,1017,Toneladas,22378
2688,Abacaxi,13,Amazonas,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,8751
2688,Abacaxi,13,Amazonas,2009,2009,215,Valor da produção,40,Mil Reais,25138
2688,Abacaxi,14,Roraima,2009,2009,109,Área plantada,1006,Hectares,201
2688,Abacaxi,14,Roraima,2009,2009,216,Área colhida,1006,Hectares,130
2688,Abacaxi,14,Roraima,2009,2009,214,Quantidade produzida,1017,Toneladas,911
2688,Abacaxi,14,Roraima,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,7007
2688,Abacaxi,14,Roraima,2009,2009,215,Valor da produção,40,Mil Reais,1157
2688,Abacaxi,15,Pará,2009,2009,109,Área plantada,1006,Hectares,9986
2688,Abacaxi,15,Pará,2009,2009,216,Área colhida,1006,Hectares,9978
2688,Abacaxi,15,Pará,2009,2009,214,Quantidade produzida,1017,Toneladas,241098
2688,Abacaxi,15,Pará,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,24162
2688,Abacaxi,15,Pará,2009,2009,215,Valor da produção,40,Mil Reais,142211
2688,Abacaxi,16,Amapá,2009,2009,109,Área plantada,1006,Hectares,730
2688,Abacaxi,16,Amapá,2009,2009,216,Área colhida,1006,Hectares,710
2688,Abacaxi,16,Amapá,2009,2009,214,Quantidade produzida,1017,Toneladas,2159
2688,Abacaxi,16,Amapá,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,3040
2688,Abacaxi,16,Amapá,2009,2009,215,Valor da produção,40,Mil Reais,2474
2688,Abacaxi,17,Tocantins,2009,2009,109,Área plantada,1006,Hectares,3124
2688,Abacaxi,17,Tocantins,2009,2009,216,Área colhida,1006,Hectares,2273
2688,Abacaxi,17,Tocantins,2009,2009,214,Quantidade produzida,1017,Toneladas,48657
2688,Abacaxi,17,Tocantins,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,21406
2688,Abacaxi,17,Tocantins,2009,2009,215,Valor da produção,40,Mil Reais,59599
2688,Abacaxi,21,Maranhão,2009,2009,109,Área plantada,1006,Hectares,1211
2688,Abacaxi,21,Maranhão,2009,2009,216,Área colhida,1006,Hectares,1211
2688,Abacaxi,21,Maranhão,2009,2009,214,Quantidade produzida,1017,Toneladas,23451
2688,Abacaxi,21,Maranhão,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,19364
2688,Abacaxi,21,Maranhão,2009,2009,215,Valor da produção,40,Mil Reais,7974
2688,Abacaxi,22,Piauí,2009,2009,109,Área plantada,1006,Hectares,15
2688,Abacaxi,22,Piauí,2009,2009,216,Área colhida,1006,Hectares,15
2688,Abacaxi,22,Piauí,2009,2009,214,Quantidade produzida,1017,Toneladas,150
2688,Abacaxi,22,Piauí,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,10000
2688,Abacaxi,22,Piauí,2009,2009,215,Valor da produção,40,Mil Reais,75
2688,Abacaxi,23,Ceará,2009,2009,109,Área plantada,1006,Hectares,556
2688,Abacaxi,23,Ceará,2009,2009,216,Área colhida,1006,Hectares,556
2688,Abacaxi,23,Ceará,2009,2009,214,Quantidade produzida,1017,Toneladas,17585
2688,Abacaxi,23,Ceará,2009,2009,112,Rendimento médio da produção,33,Quilogramas por Hectare,31627
2688,Abacaxi,23,Ceará,2009,2009,215,Valor da produção,40,Mil Reais,21758
2688,Abacaxi,24,Rio Grande do Norte,2009,2009,109,Área plantada,1006,Hectares,3763
2688,Abacaxi,24,Rio Grande do Norte,2009,2009,216,Área colhida,1006,Hectares,3763
