D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,11,Rondônia,2013,2013,109,Área plantada,1006,Hectares,452
2688,Abacaxi,11,Rondônia,2013,2013,216,Área colhida,1006,Hectares,452
2688,Abacaxi,11,Rondônia,2013,2013,214,Quantidade produzida,1017,Toneladas,8730
2688,Abacaxi,11,Rondônia,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,19314
2688,Abacaxi,11,Rondônia,2013,2013,215,Valor da produção,40,Mil Reais,11541
2688,Abacaxi,12,Acre,2013,2013,109,Área plantada,1006,Hectares,519
2688,Abacaxi,12,Acre,2013,2013,216,Área colhida,1006,Hectares,519
2688,Abacaxi,12,Acre,2013,2013,214,Quantidade produzida,1017,Toneladas,7050
2688,Abacaxi,12,Acre,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,13584
2688,Abacaxi,12,Acre,2013,2013,215,Valor da produção,40,Mil Reais,11915
2688,Abacaxi,13,Amazonas,2013,2013,109,Área plantada,1006,Hectares,4096
2688,Abacaxi,13,Amazonas,2013,2013,216,Área colhida,1006,Hectares,3842
2688,Abacaxi,13,Amazonas,2013,2013,214,Quantidade produzida,1017,Toneladas,78447
2688,Abacaxi,13,Amazonas,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,20418
2688,Abacaxi,13,Amazonas,2013,2013,215,Valor da produção,40,Mil Reais,101173
2688,Abacaxi,14,Roraima,2013,2013,109,Área plantada,1006,Hectares,236
2688,Abacaxi,14,Roraima,2013,2013,216,Área colhida,1006,Hectares,231
2688,Abacaxi,14,Roraima,2013,2013,214,Quantidade produzida,1017,Toneladas,4368
2688,Abacaxi,14,Roraima,2013,2013,112,Rendimento médio da produção,33,Quilogramas por Hectare,18909
2688,Abacaxi,14,Roraima,2013,2013,215,Valor da produção,40,Mil Reais,6554
2688,Abacaxi,15,Pará,2013,2013,109,Área plantada,1006,Hectares,10777
2688,Abacaxi,15,Pará,2013,2013,216,Área colhida,1006,Hectares,10777
