D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,MC,MN,V
2688,Abacaxi,11,Rondônia,1990,1990,109,Área plantada,1006,Hectares,419
2688,Abacaxi,11,Rondônia,1990,1990,216,Área colhida,1006,Hectares,419
2688,Abacaxi,11,Rondônia,1990,1990,214,Quantidade produzida,1017,Toneladas,3933
2688,Abacaxi,11,Rondônia,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,9386
2688,Abacaxi,11,Rondônia,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,123459
2688,Abacaxi,12,Acre,1990,1990,109,Área plantada,1006,Hectares,88
2688,Abacaxi,12,Acre,1990,1990,216,Área colhida,1006,Hectares,87
2688,Abacaxi,12,Acre,1990,1990,214,Quantidade produzida,1017,Toneladas,418
2688,Abacaxi,12,Acre,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,4804
2688,Abacaxi,12,Acre,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,27028
2688,Abacaxi,13,Amazonas,1990,1990,109,Área plantada,1006,Hectares,160
2688,Abacaxi,13,Amazonas,1990,1990,216,Área colhida,1006,Hectares,160
2688,Abacaxi,13,Amazonas,1990,1990,214,Quantidade produzida,1017,Toneladas,1797
2688,Abacaxi,13,Amazonas,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,11231
2688,Abacaxi,13,Amazonas,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,91029
2688,Abacaxi,14,Roraima,1990,1990,109,Área plantada,1006,Hectares,164
2688,Abacaxi,14,Roraima,1990,1990,216,Área colhida,1006,Hectares,164
2688,Abacaxi,14,Roraima,1990,1990,214,Quantidade produzida,1017,Toneladas,869
2688,Abacaxi,14,Roraima,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,5298
2688,Abacaxi,14,Roraima,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,0
2688,Abacaxi,15,Pará,1990,1990,109,Área plantada,1006,Hectares,1003
2688,Abacaxi,15,Pará,1990,1990,216,Área colhida,1006,Hectares,819
2688,Abacaxi,15,Pará,1990,1990,214,Quantidade produzida,1017,Toneladas,15807
2688,Abacaxi,15,Pará,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,19300
2688,Abacaxi,15,Pará,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,537361
2688,Abacaxi,16,Amapá,1990,1990,109,Área plantada,1006,Hectares,66
2688,Abacaxi,16,Amapá,1990,1990,216,Área colhida,1006,Hectares,59
2688,Abacaxi,16,Amapá,1990,1990,214,Quantidade produzida,1017,Toneladas,378
2688,Abacaxi,16,Amapá,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,6406
2688,Abacaxi,16,Amapá,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,17560
2688,Abacaxi,17,Tocantins,1990,1990,109,Área plantada,1006,Hectares,334
2688,Abacaxi,17,Tocantins,1990,1990,216,Área colhida,1006,Hectares,247
2688,Abacaxi,17,Tocantins,1990,1990,214,Quantidade produzida,1017,Toneladas,4320
2688,Abacaxi,17,Tocantins,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,17489
2688,Abacaxi,17,Tocantins,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,106900
2688,Abacaxi,21,Maranhão,1990,1990,109,Área plantada,1006,Hectares,429
2688,Abacaxi,21,Maranhão,1990,1990,216,Área colhida,1006,Hectares,429
2688,Abacaxi,21,Maranhão,1990,1990,214,Quantidade produzida,1017,Toneladas,7801
2688,Abacaxi,21,Maranhão,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,18184
2688,Abacaxi,21,Maranhão,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,193768
2688,Abacaxi,22,Piauí,1990,1990,109,Área plantada,1006,Hectares,95
2688,Abacaxi,22,Piauí,1990,1990,216,Área colhida,1006,Hectares,95
2688,Abacaxi,22,Piauí,1990,1990,214,Quantidade produzida,1017,Toneladas,906
2688,Abacaxi,22,Piauí,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,9536
2688,Abacaxi,22,Piauí,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,36130
2688,Abacaxi,23,Ceará,1990,1990,109,Área plantada,1006,Hectares,25
2688,Abacaxi,23,Ceará,1990,1990,216,Área colhida,1006,Hectares,20
2688,Abacaxi,23,Ceará,1990,1990,214,Quantidade produzida,1017,Toneladas,273
2688,Abacaxi,23,Ceará,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,13650
2688,Abacaxi,23,Ceará,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,5929
2688,Abacaxi,24,Rio Grande do Norte,1990,1990,109,Área plantada,1006,Hectares,1394
2688,Abacaxi,24,Rio Grande do Norte,1990,1990,216,Área colhida,1006,Hectares,1294
2688,Abacaxi,24,Rio Grande do Norte,1990,1990,214,Quantidade produzida,1017,Toneladas,28504
2688,Abacaxi,24,Rio Grande do Norte,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,22027
2688,Abacaxi,24,Rio Grande do Norte,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,599323
2688,Abacaxi,25,Paraíba,1990,1990,109,Área plantada,1006,Hectares,12718
2688,Abacaxi,25,Paraíba,1990,1990,216,Área colhida,1006,Hectares,9356
2688,Abacaxi,25,Paraíba,1990,1990,214,Quantidade produzida,1017,Toneladas,284168
2688,Abacaxi,25,Paraíba,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,30372
2688,Abacaxi,25,Paraíba,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,6704832
2688,Abacaxi,26,Pernambuco,1990,1990,109,Área plantada,1006,Hectares,1797
2688,Abacaxi,26,Pernambuco,1990,1990,216,Área colhida,1006,Hectares,1733
2688,Abacaxi,26,Pernambuco,1990,1990,214,Quantidade produzida,1017,Toneladas,31975
2688,Abacaxi,26,Pernambuco,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,18450
2688,Abacaxi,26,Pernambuco,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,761559
2688,Abacaxi,27,Alagoas,1990,1990,109,Área plantada,1006,Hectares,920
2688,Abacaxi,27,Alagoas,1990,1990,216,Área colhida,1006,Hectares,910
2688,Abacaxi,27,Alagoas,1990,1990,214,Quantidade produzida,1017,Toneladas,21039
2688,Abacaxi,27,Alagoas,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,23119
2688,Abacaxi,27,Alagoas,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,281710
2688,Abacaxi,28,Sergipe,1990,1990,109,Área plantada,1006,Hectares,352
2688,Abacaxi,28,Sergipe,1990,1990,216,Área colhida,1006,Hectares,352
2688,Abacaxi,28,Sergipe,1990,1990,214,Quantidade produzida,1017,Toneladas,6679
2688,Abacaxi,28,Sergipe,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,18974
2688,Abacaxi,28,Sergipe,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,192358
2688,Abacaxi,29,Bahia,1990,1990,109,Área plantada,1006,Hectares,2288
2688,Abacaxi,29,Bahia,1990,1990,216,Área colhida,1006,Hectares,2288
2688,Abacaxi,29,Bahia,1990,1990,214,Quantidade produzida,1017,Toneladas,45643
2688,Abacaxi,29,Bahia,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,19948
2688,Abacaxi,29,Bahia,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,661193
2688,Abacaxi,31,Minas Gerais,1990,1990,109,Área plantada,1006,Hectares,10037
2688,Abacaxi,31,Minas Gerais,1990,1990,216,Área colhida,1006,Hectares,10003
2688,Abacaxi,31,Minas Gerais,1990,1990,214,Quantidade produzida,1017,Toneladas,186993
2688,Abacaxi,31,Minas Gerais,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,18693
2688,Abacaxi,31,Minas Gerais,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,5932270
2688,Abacaxi,32,Espírito Santo,1990,1990,109,Área plantada,1006,Hectares,1324
2688,Abacaxi,32,Espírito Santo,1990,1990,216,Área colhida,1006,Hectares,1324
2688,Abacaxi,32,Espírito Santo,1990,1990,214,Quantidade produzida,1017,Toneladas,30186
2688,Abacaxi,32,Espírito Santo,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,22799
2688,Abacaxi,32,Espírito Santo,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,707659
2688,Abacaxi,33,Rio de Janeiro,1990,1990,109,Área plantada,1006,Hectares,498
2688,Abacaxi,33,Rio de Janeiro,1990,1990,216,Área colhida,1006,Hectares,453
2688,Abacaxi,33,Rio de Janeiro,1990,1990,214,Quantidade produzida,1017,Toneladas,13554
2688,Abacaxi,33,Rio de Janeiro,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,29920
2688,Abacaxi,33,Rio de Janeiro,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,319366
2688,Abacaxi,35,São Paulo,1990,1990,109,Área plantada,1006,Hectares,974
2688,Abacaxi,35,São Paulo,1990,1990,216,Área colhida,1006,Hectares,974
2688,Abacaxi,35,São Paulo,1990,1990,214,Quantidade produzida,1017,Toneladas,19731
2688,Abacaxi,35,São Paulo,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,20257
2688,Abacaxi,35,São Paulo,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,559371
2688,Abacaxi,41,Paraná,1990,1990,109,Área plantada,1006,Hectares,10
2688,Abacaxi,41,Paraná,1990,1990,216,Área colhida,1006,Hectares,10
2688,Abacaxi,41,Paraná,1990,1990,214,Quantidade produzida,1017,Toneladas,149
2688,Abacaxi,41,Paraná,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,14900
2688,Abacaxi,41,Paraná,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,13840
2688,Abacaxi,42,Santa Catarina,1990,1990,109,Área plantada,1006,Hectares,99
2688,Abacaxi,42,Santa Catarina,1990,1990,216,Área colhida,1006,Hectares,99
2688,Abacaxi,42,Santa Catarina,1990,1990,214,Quantidade produzida,1017,Toneladas,1294
2688,Abacaxi,42,Santa Catarina,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,13070
2688,Abacaxi,42,Santa Catarina,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,22704
2688,Abacaxi,43,Rio Grande do Sul,1990,1990,109,Área plantada,1006,Hectares,471
2688,Abacaxi,43,Rio Grande do Sul,1990,1990,216,Área colhida,1006,Hectares,470
2688,Abacaxi,43,Rio Grande do Sul,1990,1990,214,Quantidade produzida,1017,Toneladas,4808
2688,Abacaxi,43,Rio Grande do Sul,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,10229
2688,Abacaxi,43,Rio Grande do Sul,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,25734
2688,Abacaxi,50,Mato Grosso do Sul,1990,1990,109,Área plantada,1006,Hectares,225
2688,Abacaxi,50,Mato Grosso do Sul,1990,1990,216,Área colhida,1006,Hectares,225
2688,Abacaxi,50,Mato Grosso do Sul,1990,1990,214,Quantidade produzida,1017,Toneladas,3448
2688,Abacaxi,50,Mato Grosso do Sul,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,15324
2688,Abacaxi,50,Mato Grosso do Sul,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,45969
2688,Abacaxi,51,Mato Grosso,1990,1990,109,Área plantada,1006,Hectares,326
2688,Abacaxi,51,Mato Grosso,1990,1990,216,Área colhida,1006,Hectares,322
2688,Abacaxi,51,Mato Grosso,1990,1990,214,Quantidade produzida,1017,Toneladas,4818
2688,Abacaxi,51,Mato Grosso,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,14962
2688,Abacaxi,51,Mato Grosso,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,140016
2688,Abacaxi,52,Goiás,1990,1990,109,Área plantada,1006,Hectares,935
2688,Abacaxi,52,Goiás,1990,1990,216,Área colhida,1006,Hectares,855
2688,Abacaxi,52,Goiás,1990,1990,214,Quantidade produzida,1017,Toneladas,16440
2688,Abacaxi,52,Goiás,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,19228
2688,Abacaxi,52,Goiás,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,646082
2688,Abacaxi,53,Distrito Federal,1990,1990,109,Área plantada,1006,Hectares,-
2688,Abacaxi,53,Distrito Federal,1990,1990,216,Área colhida,1006,Hectares,-
2688,Abacaxi,53,Distrito Federal,1990,1990,214,Quantidade produzida,1017,Toneladas,-
2688,Abacaxi,53,Distrito Federal,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2688,Abacaxi,53,Distrito Federal,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,-
2689,Algodão herbáceo (em caroço),11,Rondônia,1990,1990,109,Área plantada,1006,Hectares,7780
2689,Algodão herbáceo (em caroço),11,Rondônia,1990,1990,216,Área colhida,1006,Hectares,7780
2689,Algodão herbáceo (em caroço),11,Rondônia,1990,1990,214,Quantidade produzida,1017,Toneladas,8110
2689,Algodão herbáceo (em caroço),11,Rondônia,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,1042
2689,Algodão herbáceo (em caroço),11,Rondônia,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,114823
2689,Algodão herbáceo (em caroço),12,Acre,1990,1990,109,Área plantada,1006,Hectares,-
2689,Algodão herbáceo (em caroço),12,Acre,1990,1990,216,Área colhida,1006,Hectares,-
2689,Algodão herbáceo (em caroço),12,Acre,1990,1990,214,Quantidade produzida,1017,Toneladas,-
2689,Algodão herbáceo (em caroço),12,Acre,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2689,Algodão herbáceo (em caroço),12,Acre,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,-
2689,Algodão herbáceo (em caroço),13,Amazonas,1990,1990,109,Área plantada,1006,Hectares,-
2689,Algodão herbáceo (em caroço),13,Amazonas,1990,1990,216,Área colhida,1006,Hectares,-
2689,Algodão herbáceo (em caroço),13,Amazonas,1990,1990,214,Quantidade produzida,1017,Toneladas,-
2689,Algodão herbáceo (em caroço),13,Amazonas,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2689,Algodão herbáceo (em caroço),13,Amazonas,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,-
2689,Algodão herbáceo (em caroço),14,Roraima,1990,1990,109,Área plantada,1006,Hectares,-
2689,Algodão herbáceo (em caroço),14,Roraima,1990,1990,216,Área colhida,1006,Hectares,-
2689,Algodão herbáceo (em caroço),14,Roraima,1990,1990,214,Quantidade produzida,1017,Toneladas,-
2689,Algodão herbáceo (em caroço),14,Roraima,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2689,Algodão herbáceo (em caroço),14,Roraima,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,-
2689,Algodão herbáceo (em caroço),15,Pará,1990,1990,109,Área plantada,1006,Hectares,9302
2689,Algodão herbáceo (em caroço),15,Pará,1990,1990,216,Área colhida,1006,Hectares,9302
2689,Algodão herbáceo (em caroço),15,Pará,1990,1990,214,Quantidade produzida,1017,Toneladas,5122
2689,Algodão herbáceo (em caroço),15,Pará,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,550
2689,Algodão herbáceo (em caroço),15,Pará,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,230546
2689,Algodão herbáceo (em caroço),16,Amapá,1990,1990,109,Área plantada,1006,Hectares,-
2689,Algodão herbáceo (em caroço),16,Amapá,1990,1990,216,Área colhida,1006,Hectares,-
2689,Algodão herbáceo (em caroço),16,Amapá,1990,1990,214,Quantidade produzida,1017,Toneladas,-
2689,Algodão herbáceo (em caroço),16,Amapá,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2689,Algodão herbáceo (em caroço),16,Amapá,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,-
2689,Algodão herbáceo (em caroço),17,Tocantins,1990,1990,109,Área plantada,1006,Hectares,500
2689,Algodão herbáceo (em caroço),17,Tocantins,1990,1990,216,Área colhida,1006,Hectares,500
2689,Algodão herbáceo (em caroço),17,Tocantins,1990,1990,214,Quantidade produzida,1017,Toneladas,500
2689,Algodão herbáceo (em caroço),17,Tocantins,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,1000
2689,Algodão herbáceo (em caroço),17,Tocantins,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,10500
2689,Algodão herbáceo (em caroço),21,Maranhão,1990,1990,109,Área plantada,1006,Hectares,120
2689,Algodão herbáceo (em caroço),21,Maranhão,1990,1990,216,Área colhida,1006,Hectares,120
2689,Algodão herbáceo (em caroço),21,Maranhão,1990,1990,214,Quantidade produzida,1017,Toneladas,54
2689,Algodão herbáceo (em caroço),21,Maranhão,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,450
2689,Algodão herbáceo (em caroço),21,Maranhão,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,1161
2689,Algodão herbáceo (em caroço),22,Piauí,1990,1990,109,Área plantada,1006,Hectares,18577
2689,Algodão herbáceo (em caroço),22,Piauí,1990,1990,216,Área colhida,1006,Hectares,15327
2689,Algodão herbáceo (em caroço),22,Piauí,1990,1990,214,Quantidade produzida,1017,Toneladas,4431
2689,Algodão herbáceo (em caroço),22,Piauí,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,289
2689,Algodão herbáceo (em caroço),22,Piauí,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,117581
2689,Algodão herbáceo (em caroço),23,Ceará,1990,1990,109,Área plantada,1006,Hectares,165842
2689,Algodão herbáceo (em caroço),23,Ceará,1990,1990,216,Área colhida,1006,Hectares,78216
2689,Algodão herbáceo (em caroço),23,Ceará,1990,1990,214,Quantidade produzida,1017,Toneladas,17164
2689,Algodão herbáceo (em caroço),23,Ceará,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,219
2689,Algodão herbáceo (em caroço),23,Ceará,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,555931
2689,Algodão herbáceo (em caroço),24,Rio Grande do Norte,1990,1990,109,Área plantada,1006,Hectares,20620
2689,Algodão herbáceo (em caroço),24,Rio Grande do Norte,1990,1990,216,Área colhida,1006,Hectares,6822
2689,Algodão herbáceo (em caroço),24,Rio Grande do Norte,1990,1990,214,Quantidade produzida,1017,Toneladas,4442
2689,Algodão herbáceo (em caroço),24,Rio Grande do Norte,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,651
2689,Algodão herbáceo (em caroço),24,Rio Grande do Norte,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,248801
2689,Algodão herbáceo (em caroço),25,Paraíba,1990,1990,109,Área plantada,1006,Hectares,35934
2689,Algodão herbáceo (em caroço),25,Paraíba,1990,1990,216,Área colhida,1006,Hectares,24508
2689,Algodão herbáceo (em caroço),25,Paraíba,1990,1990,214,Quantidade produzida,1017,Toneladas,11552
2689,Algodão herbáceo (em caroço),25,Paraíba,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,471
2689,Algodão herbáceo (em caroço),25,Paraíba,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,331998
2689,Algodão herbáceo (em caroço),26,Pernambuco,1990,1990,109,Área plantada,1006,Hectares,11530
2689,Algodão herbáceo (em caroço),26,Pernambuco,1990,1990,216,Área colhida,1006,Hectares,7995
2689,Algodão herbáceo (em caroço),26,Pernambuco,1990,1990,214,Quantidade produzida,1017,Toneladas,2455
2689,Algodão herbáceo (em caroço),26,Pernambuco,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,307
2689,Algodão herbáceo (em caroço),26,Pernambuco,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,78017
2689,Algodão herbáceo (em caroço),27,Alagoas,1990,1990,109,Área plantada,1006,Hectares,9914
2689,Algodão herbáceo (em caroço),27,Alagoas,1990,1990,216,Área colhida,1006,Hectares,8048
2689,Algodão herbáceo (em caroço),27,Alagoas,1990,1990,214,Quantidade produzida,1017,Toneladas,1128
2689,Algodão herbáceo (em caroço),27,Alagoas,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,140
2689,Algodão herbáceo (em caroço),27,Alagoas,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,38626
2689,Algodão herbáceo (em caroço),28,Sergipe,1990,1990,109,Área plantada,1006,Hectares,3324
2689,Algodão herbáceo (em caroço),28,Sergipe,1990,1990,216,Área colhida,1006,Hectares,2669
2689,Algodão herbáceo (em caroço),28,Sergipe,1990,1990,214,Quantidade produzida,1017,Toneladas,737
2689,Algodão herbáceo (em caroço),28,Sergipe,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,276
2689,Algodão herbáceo (em caroço),28,Sergipe,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,28160
2689,Algodão herbáceo (em caroço),29,Bahia,1990,1990,109,Área plantada,1006,Hectares,188029
2689,Algodão herbáceo (em caroço),29,Bahia,1990,1990,216,Área colhida,1006,Hectares,186447
2689,Algodão herbáceo (em caroço),29,Bahia,1990,1990,214,Quantidade produzida,1017,Toneladas,109361
2689,Algodão herbáceo (em caroço),29,Bahia,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,586
2689,Algodão herbáceo (em caroço),29,Bahia,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,2709007
2689,Algodão herbáceo (em caroço),31,Minas Gerais,1990,1990,109,Área plantada,1006,Hectares,130131
2689,Algodão herbáceo (em caroço),31,Minas Gerais,1990,1990,216,Área colhida,1006,Hectares,129899
2689,Algodão herbáceo (em caroço),31,Minas Gerais,1990,1990,214,Quantidade produzida,1017,Toneladas,94492
2689,Algodão herbáceo (em caroço),31,Minas Gerais,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,727
2689,Algodão herbáceo (em caroço),31,Minas Gerais,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,2192254
2689,Algodão herbáceo (em caroço),32,Espírito Santo,1990,1990,109,Área plantada,1006,Hectares,-
2689,Algodão herbáceo (em caroço),32,Espírito Santo,1990,1990,216,Área colhida,1006,Hectares,-
2689,Algodão herbáceo (em caroço),32,Espírito Santo,1990,1990,214,Quantidade produzida,1017,Toneladas,-
2689,Algodão herbáceo (em caroço),32,Espírito Santo,1990,1990,112,Rendimento médio da produção,33,Quilogramas por Hectare,-
2689,Algodão herbáceo (em caroço),32,Espírito Santo,1990,1990,215,Valor da produção,1012,Mil Cruzeiros,-
2689,Algodão herbáceo (em caroço),33,Rio de Janeiro,1990,1990,109,Área plantada,1006,Hectares,-
2689,Algodão herbáceo (em caroço),33,Rio de Janeiro,1990,1990,216,Área colhida,1006,Hectares,-
